municipio;Total;Branca;Preta;Amarela;Parda;Indígena;n_declarado
Talismã (TO);1211;318;164;29;697;3;-
Palmas (TO);115484;37959;9627;3334;64320;243;1
Tocantínia (TO);3260;356;119;45;1323;1417;-
Tocantinópolis (TO);11419;2432;956;23;7199;809;-
Tupirama (TO);731;173;51;12;495;-;-
Tupiratins (TO);1010;189;170;42;609;-;-
Wanderlândia (TO);5334;1045;304;7;3976;2;-
Xambioá (TO);5577;1192;590;194;3595;6;-
Açailândia (MA);51932;12989;3546;592;34705;100;-
Afonso Cunha (MA);2933;392;182;77;2282;-;-
Água Doce do Maranhão (MA);5563;1373;57;17;4116;-;-
Alcântara (MA);10593;1808;2668;60;6041;16;-
Aldeias Altas (MA);11557;1493;1047;234;8782;1;-
Altamira do Maranhão (MA);5496;1099;272;102;4022;1;-
Alto Alegre do Maranhão (MA);12325;1877;926;80;9441;1;-
Alto Alegre do Pindaré (MA);15035;2442;1390;178;11007;18;-
Alto Parnaíba (MA);5298;749;387;74;4084;4;-
Amapá do Maranhão (MA);3119;554;109;20;2435;1;-
Amarante do Maranhão (MA);18150;3522;741;88;11302;2494;3
Anajatuba (MA);12332;4273;472;39;7545;3;-
Anapurus (MA);6919;1201;259;56;5402;1;-
Apicum-Açu (MA);7143;1251;787;71;5032;2;-
Araguanã (MA);6854;1148;951;26;4561;168;-
Araioses (MA);20498;4696;1016;223;14548;15;-
Arame (MA);15219;3184;1368;169;9228;1270;-
Arari (MA);14173;5139;955;61;8010;8;-
Axixá (MA);5585;1018;445;25;4096;1;-
Bacabal (MA);52257;12443;7017;859;31859;70;9
Bacabeira (MA);7415;1977;477;25;4934;2;-
Bacuri (MA);8117;950;2298;245;4618;6;-
Bacurituba (MA);2548;236;700;35;1577;-;-
Balsas (MA);41954;9277;2958;955;28687;77;-
Barão de Grajaú (MA);8904;1955;786;154;6005;4;-
Barra do Corda (MA);41174;10414;2110;278;26678;1694;-
Barreirinhas (MA);26798;5247;993;163;20389;6;-
Belágua (MA);3101;605;127;15;2350;4;-
Bela Vista do Maranhão (MA);5940;1505;682;78;3673;2;-
Benedito Leite (MA);2614;719;159;14;1719;3;-
Bequimão (MA);9995;3499;2009;42;4440;5;-
Bernardo do Mearim (MA);3023;960;203;50;1810;-;-
Boa Vista do Gurupi (MA);3908;541;226;7;3128;6;-
Bom Jardim (MA);19199;3396;1781;321;13187;514;-
Bom Jesus das Selvas (MA);13587;1907;1014;350;9864;452;-
Bom Lugar (MA);7265;1780;441;101;4943;-;-
Brejo (MA);16476;3042;1308;277;11829;20;-
Brejo de Areia (MA);2710;529;107;92;1982;-;-
Buriti (MA);13335;2572;677;141;9944;1;-
Buriti Bravo (MA);11574;2234;1510;118;7712;-;-
Buriticupu (MA);31921;7044;1869;402;22401;205;-
Buritirana (MA);7248;1599;332;42;5263;12;-
Cachoeira Grande (MA);4043;891;147;18;2939;48;-
Cajapió (MA);5228;846;329;26;4027;-;-
